time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
02/09/2025 16:45:04.3913	7,9421178E-002	3,6969885E-001	8,3507597E-002
02/09/2025 16:45:37.7312	6,3101739E-002	3,8043457E-001	9,3830086E-002
02/09/2025 16:46:19.6709	5,0154075E-002	3,9382058E-001	1,0513387E-001
02/09/2025 16:47:12.5049	3,9804459E-002	4,0773484E-001	1,1926210E-001
02/09/2025 16:48:19.0649	3,1592205E-002	4,2223090E-001	1,3371539E-001
02/09/2025 16:49:42.6833	2,5144994E-002	4,3950677E-001	1,4800148E-001
02/09/2025 16:51:28.0723	1,9949391E-002	4,6122018E-001	1,6480546E-001
02/09/2025 16:53:40.6213	1,5860692E-002	4,8576045E-001	1,8491821E-001
02/09/2025 16:56:27.7706	1,2576789E-002	5,1206267E-001	2,0681034E-001
02/09/2025 16:59:57.7923	1,0009170E-002	5,4117543E-001	2,2803812E-001
02/09/2025 16:59:58.6285	1,9999814E+005	2,5813779E-001	-2,1617908E-002
02/09/2025 16:59:59.0635	1,5885727E+005	2,6905537E-001	-1,2904679E-002
02/09/2025 16:59:59.4975	1,2618765E+005	2,7471250E-001	-8,2078008E-003
02/09/2025 16:59:59.7915	1,0022640E+005	2,7768177E-001	-4,8333206E-003
02/09/2025 17:00:01.4855	7,9609563E+004	2,7931881E-001	-2,6723891E-003
02/09/2025 17:00:03.1795	6,3233004E+004	2,8023738E-001	-1,7292716E-003
02/09/2025 17:00:04.4535	5,0224539E+004	2,8093296E-001	-1,2670624E-003
02/09/2025 17:00:05.1675	3,9897566E+004	2,8123903E-001	-6,2145403E-004
02/09/2025 17:00:05.6025	3,1686090E+004	2,8142437E-001	-1,4289941E-004
02/09/2025 17:00:06.0365	2,5172580E+004	2,8187460E-001	4,5300249E-004
02/09/2025 17:00:06.4715	1,9995176E+004	2,8201887E-001	8,3797117E-004
02/09/2025 17:00:06.9055	1,5884798E+004	2,8229108E-001	1,0853659E-003
02/09/2025 17:00:07.3395	1,2618766E+004	2,8252324E-001	1,4796925E-003
02/09/2025 17:00:07.7735	1,0020785E+004	2,8276694E-001	1,7311441E-003
02/09/2025 17:00:08.2658	7,9597607E+003	2,8324091E-001	1,9891595E-003
02/09/2025 17:00:08.8473	6,3238188E+003	2,8350174E-001	2,1995243E-003
02/09/2025 17:00:09.3177	5,0216069E+003	2,8387043E-001	2,4671583E-003
02/09/2025 17:00:10.0090	3,9861731E+003	2,8415799E-001	2,5163146E-003
