time/s	I/mA	<Ewe/V>	
30/08/2025 16:39:36.9187	9,2506140E-002	-8,5116394E-002
30/08/2025 16:39:37.0187	1,3068911E-001	-8,4311016E-002
30/08/2025 16:39:37.1187	1,2432528E-001	-8,3060063E-002
30/08/2025 16:39:37.2187	7,9778478E-002	-8,2110651E-002
30/08/2025 16:39:37.3187	1,1159762E-001	-8,1346087E-002
30/08/2025 16:39:37.4187	9,8869957E-002	-8,0559745E-002
30/08/2025 16:39:37.5187	1,4341676E-001	-7,9808205E-002
30/08/2025 16:39:37.6187	1,3068911E-001	-7,9115532E-002
30/08/2025 16:39:37.7187	1,5614443E-001	-7,8449056E-002
30/08/2025 16:39:37.8187	8,6142294E-002	-7,7834807E-002
30/08/2025 16:39:37.9187	8,6142294E-002	-7,7228315E-002
30/08/2025 16:39:38.0187	7,9778478E-002	-7,6637097E-002
30/08/2025 16:39:38.1187	8,6142294E-002	-7,6061964E-002
30/08/2025 16:39:38.2187	-9,3151405E-003	-7,5557463E-002
30/08/2025 16:39:38.3187	9,8869957E-002	-7,5120538E-002
30/08/2025 16:39:38.4187	8,6142294E-002	-7,4727118E-002
30/08/2025 16:39:38.5187	1,6250826E-001	-7,4372821E-002
30/08/2025 16:39:38.6187	1,3705294E-001	-7,3982529E-002
30/08/2025 16:39:38.7187	1,2432528E-001	-7,3561832E-002
30/08/2025 16:39:38.8187	1,1159762E-001	-7,3146567E-002
30/08/2025 16:39:38.9187	7,9778478E-002	-7,2749555E-002
30/08/2025 16:39:39.0187	7,9778478E-002	-7,2354421E-002
30/08/2025 16:39:39.1187	1,3068911E-001	-7,1957029E-002
30/08/2025 16:39:39.2187	7,3414646E-002	-7,1560979E-002
30/08/2025 16:39:39.3187	1,4978060E-001	-7,1182229E-002
30/08/2025 16:39:39.4187	1,3068911E-001	-7,0836790E-002
30/08/2025 16:39:39.5187	1,7523590E-001	-7,0530586E-002
30/08/2025 16:39:39.6187	1,1159762E-001	-7,0246644E-002
30/08/2025 16:39:39.7187	1,3068911E-001	-6,9979094E-002
30/08/2025 16:39:39.8187	1,2432528E-001	-6,9720596E-002
30/08/2025 16:39:39.9187	1,1159762E-001	-6,9424897E-002
