time/s	I/mA	<Ewe/V>	
27/08/2025 09:36:17.0800	1,6250411E-002	-5,7684928E-003
27/08/2025 09:36:17.1800	1,5614044E-002	-5,7631722E-003
27/08/2025 09:36:17.2800	5,4321769E-003	-5,7690167E-003
27/08/2025 09:36:17.3800	3,5230771E-003	-5,7607656E-003
27/08/2025 09:36:17.4800	9,2503773E-003	-5,7577481E-003
27/08/2025 09:36:17.5800	7,3412773E-003	-5,7625230E-003
27/08/2025 09:36:17.6800	7,9776440E-003	-5,7607656E-003
27/08/2025 09:36:17.7800	4,1594426E-003	-5,7644709E-003
27/08/2025 09:36:17.8800	1,1159477E-002	-5,7570604E-003
27/08/2025 09:36:17.9800	1,4341311E-002	-5,7581682E-003
27/08/2025 09:36:18.0800	4,7958097E-003	-5,7614530E-003
27/08/2025 09:36:18.1800	7,3412773E-003	-5,7649678E-003
27/08/2025 09:36:18.2800	9,8867435E-003	-5,7575186E-003
27/08/2025 09:36:18.3800	8,6140092E-003	-5,7573663E-003
27/08/2025 09:36:18.4800	7,9776440E-003	-5,7642036E-003
27/08/2025 09:36:18.5800	1,5614044E-002	-5,7568313E-003
27/08/2025 09:36:18.6800	3,4124311E-004	-5,7586264E-003
27/08/2025 09:36:18.7800	1,0523110E-002	-5,7575949E-003
27/08/2025 09:36:18.8800	1,0523110E-002	-5,7604606E-003
27/08/2025 09:36:18.9800	4,1594426E-003	-5,7658846E-003
27/08/2025 09:36:19.0800	7,9776440E-003	-5,7629053E-003
27/08/2025 09:36:19.1800	1,3068578E-002	-5,7504904E-003
27/08/2025 09:36:19.2800	1,4341311E-002	-5,7604220E-003
27/08/2025 09:36:19.3800	7,9776440E-003	-5,7561053E-003
27/08/2025 09:36:19.4800	8,6140092E-003	-5,7529733E-003
27/08/2025 09:36:19.5800	3,5230771E-003	-5,7617971E-003
27/08/2025 09:36:19.6800	7,9776440E-003	-5,7585118E-003
27/08/2025 09:36:19.7800	6,7049102E-003	-5,7548066E-003
27/08/2025 09:36:19.8800	6,7049102E-003	-5,7551502E-003
27/08/2025 09:36:19.9800	1,2432210E-002	-5,7582827E-003
27/08/2025 09:36:20.0800	1,6139771E-003	-5,7534315E-003
27/08/2025 09:36:20.1800	9,2503773E-003	-5,7627140E-003
27/08/2025 09:36:20.2800	1,6886778E-002	-5,7612243E-003
27/08/2025 09:36:20.3800	7,9776440E-003	-5,7569076E-003
27/08/2025 09:36:20.4800	4,7958097E-003	-5,7617589E-003
27/08/2025 09:36:20.5800	3,5230771E-003	-5,7658846E-003
27/08/2025 09:36:20.6800	9,7761012E-004	-5,7592378E-003
27/08/2025 09:36:20.7800	1,1159477E-002	-5,7645473E-003
27/08/2025 09:36:20.8800	6,7049102E-003	-5,7584359E-003
27/08/2025 09:36:20.9800	6,0685435E-003	-5,7564876E-003
27/08/2025 09:36:21.0800	7,3412773E-003	-5,7655787E-003
27/08/2025 09:36:21.1800	1,0523110E-002	-5,7621407E-003
27/08/2025 09:36:21.2800	1,4341311E-002	-5,7577100E-003
27/08/2025 09:36:21.3800	4,1594426E-003	-5,7693226E-003
27/08/2025 09:36:21.4800	1,0523110E-002	-5,7588178E-003
27/08/2025 09:36:21.5800	7,3412773E-003	-5,7554943E-003
27/08/2025 09:36:21.6800	7,3412773E-003	-5,7572131E-003
27/08/2025 09:36:21.7800	1,1159477E-002	-5,7621794E-003
27/08/2025 09:36:21.8800	3,5230771E-003	-5,7536224E-003
27/08/2025 09:36:21.9800	7,3412773E-003	-5,7631722E-003
27/08/2025 09:36:22.0800	7,3412773E-003	-5,7645859E-003
27/08/2025 09:36:22.1800	9,8867435E-003	-5,7583977E-003
27/08/2025 09:36:22.2800	9,2503773E-003	-5,7636308E-003
27/08/2025 09:36:22.3800	9,8867435E-003	-5,7578245E-003
27/08/2025 09:36:22.4800	1,1159477E-002	-5,7599256E-003
27/08/2025 09:36:22.5800	8,6140092E-003	-5,7583977E-003
27/08/2025 09:36:22.6800	3,4124311E-004	-5,7582827E-003
27/08/2025 09:36:22.7800	4,7958097E-003	-5,7579391E-003
27/08/2025 09:36:22.8800	1,0523110E-002	-5,7654260E-003
27/08/2025 09:36:22.9800	4,7958097E-003	-5,7549216E-003
27/08/2025 09:36:23.0800	1,3068578E-002	-5,7530114E-003
27/08/2025 09:36:23.1800	3,5230771E-003	-5,7631722E-003
27/08/2025 09:36:23.2800	1,3068578E-002	-5,7583596E-003
27/08/2025 09:36:23.3800	4,7958097E-003	-5,7567167E-003
27/08/2025 09:36:23.4800	7,9776440E-003	-5,7627140E-003
27/08/2025 09:36:23.5800	6,7049102E-003	-5,7617971E-003
27/08/2025 09:36:23.6800	9,2503773E-003	-5,7504140E-003
27/08/2025 09:36:23.7800	3,5230771E-003	-5,7598492E-003
27/08/2025 09:36:23.8800	9,8867435E-003	-5,7614530E-003
27/08/2025 09:36:23.9800	8,6140092E-003	-5,7643186E-003
27/08/2025 09:36:24.0800	2,8867100E-003	-5,7630958E-003
27/08/2025 09:36:24.1800	9,2503773E-003	-5,7579009E-003
27/08/2025 09:36:24.2800	1,5614044E-002	-5,7597342E-003
27/08/2025 09:36:24.3800	9,2503773E-003	-5,7655023E-003
27/08/2025 09:36:24.4800	5,4321769E-003	-5,7623703E-003
27/08/2025 09:36:24.5800	1,6139771E-003	-5,7596196E-003
27/08/2025 09:36:24.6800	8,6140092E-003	-5,7610711E-003
27/08/2025 09:36:24.7800	3,4124311E-004	-5,7622939E-003
27/08/2025 09:36:24.8800	1,3068578E-002	-5,7584359E-003
27/08/2025 09:36:24.9800	1,4341311E-002	-5,7629053E-003
27/08/2025 09:36:25.0800	1,3068578E-002	-5,7576718E-003
27/08/2025 09:36:25.1800	2,8867100E-003	-5,7565253E-003
27/08/2025 09:36:25.2800	1,1159477E-002	-5,7622939E-003
27/08/2025 09:36:25.3800	7,3412773E-003	-5,7570986E-003
27/08/2025 09:36:25.4800	7,3412773E-003	-5,7587032E-003
27/08/2025 09:36:25.5800	9,2503773E-003	-5,7660756E-003
27/08/2025 09:36:25.6800	1,4977678E-002	-5,7583596E-003
