time/s	<I>/mA	Ewe/V	
02/09/2025 19:31:19.1405	3,104585919475554E+000	-2,2637893E-003
02/09/2025 19:31:20.1405	2,668747695589062E+000	-2,0918909E-003
02/09/2025 19:31:21.1405	2,259834330153463E+000	-2,0918909E-003
02/09/2025 19:31:22.1405	1,855972851443290E+000	-2,2255897E-003
02/09/2025 19:31:23.1405	1,451699022817611E+000	-2,0345915E-003
02/09/2025 19:31:24.1405	1,079855346190929E+000	-2,0918909E-003
02/09/2025 19:31:25.1405	7,670656086802463E-001	-2,1300905E-003
02/09/2025 19:31:26.1405	3,576344963442715E-001	-2,1491903E-003
02/09/2025 19:31:27.1405	1,152989769440143E-001	-2,1109907E-003
02/09/2025 19:31:28.1405	-2,560607224235110E-001	-2,1491903E-003
02/09/2025 19:31:29.1405	-4,376669750750071E-001	-2,1300905E-003
02/09/2025 19:31:30.1405	-6,991132600545882E-001	-2,1491903E-003
02/09/2025 19:31:31.1405	-9,432240516781825E-001	-2,0918909E-003
02/09/2025 19:31:32.1405	-1,197529002597399E+000	-2,3210887E-003
02/09/2025 19:31:33.1405	-1,352117800736428E+000	-2,1300905E-003
02/09/2025 19:31:34.1405	-1,565337705922126E+000	-2,0345915E-003
02/09/2025 19:31:35.1405	-1,753252182817459E+000	-2,1873901E-003
02/09/2025 19:31:36.1405	-1,902971206927301E+000	-2,1491903E-003
02/09/2025 19:31:37.1405	-2,058169938707351E+000	-2,0727911E-003
02/09/2025 19:31:38.1405	-2,209050689744949E+000	-2,1491903E-003
02/09/2025 19:31:39.1405	-2,344709855270388E+000	-1,9772921E-003
02/09/2025 19:31:40.1405	-2,461672956991201E+000	-2,1682901E-003
02/09/2025 19:31:41.1405	-2,556160482311249E+000	-2,1491903E-003
02/09/2025 19:31:42.1405	-2,668828506374359E+000	-2,1300905E-003
02/09/2025 19:31:43.1405	-2,761255026006699E+000	-2,1682901E-003
02/09/2025 19:31:44.1405	-2,835106076908115E+000	-2,1491903E-003
02/09/2025 19:31:45.1405	-2,914469957685470E+000	-2,1491903E-003
02/09/2025 19:31:46.1405	-2,985345131492615E+000	-2,1491903E-003
02/09/2025 19:31:47.1405	-3,035697251176835E+000	-2,1300905E-003
02/09/2025 19:31:48.1405	-3,089721350002293E+000	-2,1109907E-003
02/09/2025 19:31:49.1405	-3,128509962320329E+000	-2,1873901E-003
02/09/2025 19:31:50.1405	-3,169912155246735E+000	-2,0727911E-003
02/09/2025 19:31:51.1405	-3,204372320938113E+000	-2,0536913E-003
02/09/2025 19:31:52.1405	-3,215302848243716E+000	-2,0727911E-003
02/09/2025 19:31:53.1405	-3,238829570388798E+000	-2,1682901E-003
02/09/2025 19:31:54.1405	-3,259543492031099E+000	-2,0345915E-003
02/09/2025 19:31:55.1405	-3,265554030227662E+000	-2,0918909E-003
02/09/2025 19:31:56.1405	-3,256416473150260E+000	-2,1109907E-003
02/09/2025 19:31:57.1405	-3,257093254280093E+000	-2,0727911E-003
02/09/2025 19:31:58.1405	-3,264415883445743E+000	-2,1300905E-003
02/09/2025 19:31:59.1405	-3,260637279844284E+000	-2,2255897E-003
02/09/2025 19:32:00.1405	-3,236102117586136E+000	-2,1491903E-003
02/09/2025 19:32:01.1405	-3,225006766462329E+000	-2,1873901E-003
02/09/2025 19:32:02.1405	-3,210073267841342E+000	-2,0727911E-003
02/09/2025 19:32:03.1405	-3,185328319025039E+000	-2,1682901E-003
02/09/2025 19:32:04.1405	-3,152316490316394E+000	-2,2064899E-003
02/09/2025 19:32:05.1405	-3,124533090829857E+000	-2,1491903E-003
02/09/2025 19:32:06.1405	-3,093873922824862E+000	-2,0918909E-003
02/09/2025 19:32:07.1405	-3,054742649793624E+000	-2,1109907E-003
02/09/2025 19:32:08.1405	-3,020733412933350E+000	-2,0918909E-003
02/09/2025 19:32:09.1405	-2,987327888393402E+000	-2,0918909E-003
02/09/2025 19:32:10.1405	-2,955245673370364E+000	-2,0918909E-003
02/09/2025 19:32:11.1405	-2,911460329723361E+000	-2,0727911E-003
02/09/2025 19:32:12.1405	-2,867711114311220E+000	-2,0536913E-003
02/09/2025 19:32:13.1405	-2,823103280258181E+000	-2,1300905E-003
02/09/2025 19:32:14.1405	-2,791240886306767E+000	-2,1300905E-003
02/09/2025 19:32:15.1405	-2,750643993091584E+000	-2,2064899E-003
02/09/2025 19:32:16.1405	-2,713092172145842E+000	-2,0154917E-003
02/09/2025 19:32:17.1405	-2,672934529876709E+000	-2,1682901E-003
02/09/2025 19:32:18.1405	-2,624395063495641E+000	-2,1873901E-003
02/09/2025 19:32:19.1405	-2,564223288059235E+000	-2,1300905E-003
02/09/2025 19:32:20.1405	-2,522586548900605E+000	-2,1109907E-003
02/09/2025 19:32:21.1405	-2,474255412006379E+000	-2,0918909E-003
02/09/2025 19:32:22.1405	-2,428594181680680E+000	-2,2828891E-003
02/09/2025 19:32:23.1405	-2,375402444601059E+000	-2,0918909E-003
02/09/2025 19:32:24.1405	-2,328821264791493E+000	-2,1300905E-003
02/09/2025 19:32:25.1405	-2,290211400699619E+000	-2,0918909E-003
02/09/2025 19:32:26.1405	-2,242223918771746E+000	-2,2637893E-003
02/09/2025 19:32:27.1405	-2,186901788282396E+000	-2,1682901E-003
02/09/2025 19:32:28.1405	-2,134182425260546E+000	-2,1109907E-003
02/09/2025 19:32:29.1405	-2,087057649326326E+000	-1,9963919E-003
02/09/2025 19:32:30.1405	-2,035538376116754E+000	-2,2255897E-003
02/09/2025 19:32:31.1405	-1,986176460027693E+000	-2,1873901E-003
02/09/2025 19:32:32.1405	-1,928736151432993E+000	-2,1491903E-003
02/09/2025 19:32:33.1405	-1,877572750139237E+000	-2,0536913E-003
