time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
30/08/2025 19:55:35.4880	1,0013975E-001	3,9944020E-001	6,8244562E-002
30/08/2025 19:56:01.9826	7,9421178E-002	4,0956160E-001	7,7690229E-002
30/08/2025 19:56:35.3235	6,3101739E-002	4,2045546E-001	8,7909192E-002
30/08/2025 19:57:17.2622	5,0154075E-002	4,3204457E-001	9,7518153E-002
30/08/2025 19:58:10.0973	3,9804459E-002	4,4695672E-001	1,0734198E-001
30/08/2025 19:59:16.6584	3,1592205E-002	4,6596950E-001	1,1923687E-001
30/08/2025 20:00:40.2777	2,5144994E-002	4,8748669E-001	1,3108496E-001
30/08/2025 20:02:25.6668	1,9949391E-002	5,1067919E-001	1,3940088E-001
30/08/2025 20:04:38.2157	1,5860692E-002	5,3459430E-001	1,4495340E-001
30/08/2025 20:07:25.3660	1,2576789E-002	5,6237322E-001	1,4892678E-001
30/08/2025 20:10:55.3858	1,0009170E-002	5,9248215E-001	1,4952813E-001
30/08/2025 20:10:56.2215	1,9999814E+005	2,9574382E-001	-3,9123990E-002
30/08/2025 20:10:56.6555	1,5885727E+005	3,0657417E-001	-2,7708210E-002
30/08/2025 20:10:57.0895	1,2618765E+005	3,1165633E-001	-2,0043656E-002
30/08/2025 20:10:57.3835	1,0022640E+005	3,1420749E-001	-1,4329439E-002
30/08/2025 20:10:58.3785	7,9609563E+004	3,1543255E-001	-1,1129547E-002
30/08/2025 20:10:59.3725	6,3233004E+004	3,1636918E-001	-8,5824030E-003
30/08/2025 20:11:00.2265	5,0224539E+004	3,1700650E-001	-6,1430293E-003
30/08/2025 20:11:00.9405	3,9897566E+004	3,1735641E-001	-4,5369887E-003
30/08/2025 20:11:01.3745	3,1686090E+004	3,1768048E-001	-3,2300525E-003
30/08/2025 20:11:01.8085	2,5172580E+004	3,1787568E-001	-2,1618663E-003
30/08/2025 20:11:02.2425	1,9995176E+004	3,1817967E-001	-1,2513353E-003
30/08/2025 20:11:02.6765	1,5884798E+004	3,1826144E-001	-5,0057709E-004
30/08/2025 20:11:03.1105	1,2618766E+004	3,1850749E-001	3,0375252E-004
30/08/2025 20:11:03.5455	1,0020785E+004	3,1879243E-001	8,0196990E-004
30/08/2025 20:11:04.0378	7,9597607E+003	3,1923300E-001	1,2168508E-003
30/08/2025 20:11:04.6194	6,3238188E+003	3,1959501E-001	1,4315657E-003
30/08/2025 20:11:05.0887	5,0216069E+003	3,1973654E-001	1,7214967E-003
30/08/2025 20:11:05.7810	3,9861731E+003	3,2015967E-001	2,1352528E-003
30/08/2025 20:11:06.2470	3,1669595E+003	3,2052207E-001	2,2786350E-003
30/08/2025 20:11:06.7127	2,5158047E+003	3,2088420E-001	2,4780191E-003
30/08/2025 20:11:07.1800	1,9980818E+003	3,2140145E-001	2,7063042E-003
30/08/2025 20:11:07.6470	1,5884750E+003	3,2186779E-001	2,8068961E-003
30/08/2025 20:11:08.1127	1,2604036E+003	3,2221609E-001	3,1915188E-003
30/08/2025 20:11:08.5795	1,0016024E+003	3,2282171E-001	3,5030169E-003
30/08/2025 20:11:09.0478	7,9525409E+002	3,2323775E-001	3,5508280E-003
30/08/2025 20:11:09.5142	6,3181964E+002	3,2378861E-001	3,6964209E-003
30/08/2025 20:11:09.9810	5,0208865E+002	3,2438278E-001	3,9653718E-003
30/08/2025 20:11:10.4485	3,9859698E+002	3,2488763E-001	4,2939805E-003
30/08/2025 20:11:10.9137	3,1672299E+002	3,2563090E-001	4,4397707E-003
30/08/2025 20:11:11.3785	2,5169135E+002	3,2619321E-001	4,7320849E-003
