time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
30/08/2025 14:56:58.3426	7,9421178E-002	4,3759856E-001	7,8778870E-002
30/08/2025 14:57:31.6825	6,3101739E-002	4,4828749E-001	8,9676343E-002
30/08/2025 14:58:13.6211	5,0154075E-002	4,5953178E-001	1,0183374E-001
30/08/2025 14:59:06.4561	3,9804459E-002	4,7214562E-001	1,1360898E-001
30/08/2025 15:00:13.0172	3,1592205E-002	4,8799562E-001	1,2592839E-001
30/08/2025 15:01:36.6367	2,5144994E-002	5,0647211E-001	1,4052035E-001
30/08/2025 15:03:22.0257	1,9949391E-002	5,2636069E-001	1,5767196E-001
30/08/2025 15:05:34.5746	1,5860692E-002	5,4708838E-001	1,7491046E-001
30/08/2025 15:08:21.7251	1,2576789E-002	5,7131559E-001	1,9228242E-001
30/08/2025 15:11:51.7448	1,0009170E-002	6,0082048E-001	2,1211846E-001
30/08/2025 15:11:52.5805	1,9999814E+005	3,1868884E-001	-2,1463418E-002
30/08/2025 15:11:53.0145	1,5885727E+005	3,3087140E-001	-1,4548497E-002
30/08/2025 15:11:53.4485	1,2618765E+005	3,3744305E-001	-1,0661043E-002
30/08/2025 15:11:53.7435	1,0022640E+005	3,4166208E-001	-8,5686883E-003
30/08/2025 15:11:55.4385	7,9609563E+004	3,4333038E-001	-6,9771623E-003
30/08/2025 15:11:57.1325	6,3233004E+004	3,4438390E-001	-5,2353633E-003
30/08/2025 15:11:58.8275	5,0224539E+004	3,4499374E-001	-3,8352928E-003
30/08/2025 15:11:59.6825	3,9897566E+004	3,4550360E-001	-2,7285311E-003
30/08/2025 15:12:00.2565	3,1686090E+004	3,4593692E-001	-1,7613181E-003
30/08/2025 15:12:00.6915	2,5172580E+004	3,4628683E-001	-9,7251177E-004
30/08/2025 15:12:01.1255	1,9995176E+004	3,4639060E-001	-2,3468868E-004
30/08/2025 15:12:01.5595	1,5884798E+004	3,4661737E-001	3,0425997E-004
30/08/2025 15:12:01.9945	1,2618766E+004	3,4672073E-001	7,8711362E-004
30/08/2025 15:12:02.4285	1,0020785E+004	3,4733030E-001	1,2315244E-003
30/08/2025 15:12:02.9198	7,9597607E+003	3,4752777E-001	1,4820296E-003
30/08/2025 15:12:03.3143	6,3238188E+003	3,4794250E-001	1,9036353E-003
30/08/2025 15:12:04.0067	5,0216069E+003	3,4839430E-001	2,0512813E-003
30/08/2025 15:12:04.4750	3,9861731E+003	3,4885916E-001	2,4348900E-003
