time/s	I/mA	<Ewe/V>	
31/08/2025 10:57:17.8517	1,0523378E-001	-2,6319185E-002
31/08/2025 10:57:17.9517	1,3705294E-001	-2,5925254E-002
31/08/2025 10:57:18.0517	2,8867837E-002	-2,5083825E-002
31/08/2025 10:57:18.1517	8,6142294E-002	-2,4309861E-002
31/08/2025 10:57:18.2517	1,6250826E-001	-2,3674982E-002
31/08/2025 10:57:18.3517	1,0523378E-001	-2,3069173E-002
31/08/2025 10:57:18.4517	9,2506140E-002	-2,2500267E-002
31/08/2025 10:57:18.5517	1,2432528E-001	-2,1987781E-002
31/08/2025 10:57:18.6517	1,6250826E-001	-2,1513417E-002
31/08/2025 10:57:18.7517	5,4323155E-002	-2,1038024E-002
31/08/2025 10:57:18.8517	1,0523378E-001	-2,0622946E-002
31/08/2025 10:57:18.9517	6,7050815E-002	-2,0204583E-002
31/08/2025 10:57:19.0517	5,4323155E-002	-1,9808644E-002
31/08/2025 10:57:19.1517	1,1796144E-001	-1,9440437E-002
31/08/2025 10:57:19.2517	1,3705294E-001	-1,9094348E-002
31/08/2025 10:57:19.3517	1,1796144E-001	-1,8749865E-002
31/08/2025 10:57:19.4517	1,6887209E-001	-1,8425245E-002
31/08/2025 10:57:19.5517	6,0686987E-002	-1,8109180E-002
31/08/2025 10:57:19.6517	2,1978271E-001	-1,7804004E-002
31/08/2025 10:57:19.7517	9,2506140E-002	-1,7511968E-002
31/08/2025 10:57:19.8517	1,3068911E-001	-1,7239183E-002
31/08/2025 10:57:19.9517	8,6142294E-002	-1,6974041E-002
31/08/2025 10:57:20.0517	1,2432528E-001	-1,6702976E-002
31/08/2025 10:57:20.1517	1,6140183E-002	-1,6452922E-002
31/08/2025 10:57:20.2517	6,0686987E-002	-1,6213600E-002
31/08/2025 10:57:20.3517	6,7050815E-002	-1,5973171E-002
31/08/2025 10:57:20.4517	1,3068911E-001	-1,5755473E-002
31/08/2025 10:57:20.5517	7,9778478E-002	-1,5532119E-002
31/08/2025 10:57:20.6517	1,4341676E-001	-1,5313541E-002
31/08/2025 10:57:20.7517	9,2506140E-002	-1,5105429E-002
31/08/2025 10:57:20.8517	9,2506140E-002	-1,4893765E-002
31/08/2025 10:57:20.9517	1,4341676E-001	-1,4698297E-002
31/08/2025 10:57:21.0517	1,2432528E-001	-1,4507604E-002
31/08/2025 10:57:21.1517	1,1159762E-001	-1,4319967E-002
31/08/2025 10:57:21.2517	1,3068911E-001	-1,4133554E-002
31/08/2025 10:57:21.3517	9,2506140E-002	-1,3957644E-002
31/08/2025 10:57:21.4517	1,1159762E-001	-1,3791514E-002
31/08/2025 10:57:21.5517	3,5231672E-002	-1,3615834E-002
31/08/2025 10:57:21.6517	6,7050815E-002	-1,3444432E-002
31/08/2025 10:57:21.7517	1,4341676E-001	-1,3287126E-002
31/08/2025 10:57:21.8517	1,4341676E-001	-1,3140134E-002
31/08/2025 10:57:21.9517	9,8869957E-002	-1,2983898E-002
31/08/2025 10:57:22.0517	1,8159975E-001	-1,2835836E-002
31/08/2025 10:57:22.1517	1,1159762E-001	-1,2687162E-002
31/08/2025 10:57:22.2517	9,8869957E-002	-1,2549567E-002
31/08/2025 10:57:22.3517	2,2504006E-002	-1,2418542E-002
31/08/2025 10:57:22.4517	1,2432528E-001	-1,2288816E-002
31/08/2025 10:57:22.5517	1,6887209E-001	-1,2159320E-002
31/08/2025 10:57:22.6517	1,3068911E-001	-1,2030511E-002
31/08/2025 10:57:22.7517	9,2506140E-002	-1,1904681E-002
31/08/2025 10:57:22.8517	1,1796144E-001	-1,1783282E-002
31/08/2025 10:57:22.9517	5,4323155E-002	-1,1660547E-002
31/08/2025 10:57:23.0517	1,6250826E-001	-1,1554925E-002
31/08/2025 10:57:23.1517	7,9778478E-002	-1,1446400E-002
31/08/2025 10:57:23.2517	9,8869957E-002	-1,1340472E-002
31/08/2025 10:57:23.3517	2,8867837E-002	-1,1243408E-002
31/08/2025 10:57:23.4517	1,7523590E-001	-1,1135799E-002
31/08/2025 10:57:23.5517	1,2432528E-001	-1,1028955E-002
31/08/2025 10:57:23.6517	1,4978060E-001	-1,0937465E-002
31/08/2025 10:57:23.7517	1,5614443E-001	-1,0838911E-002
31/08/2025 10:57:23.8517	7,3414646E-002	-1,0736460E-002
31/08/2025 10:57:23.9517	1,2432528E-001	-1,0648563E-002
31/08/2025 10:57:24.0517	4,1595493E-002	-1,0553866E-002
31/08/2025 10:57:24.1517	7,9778478E-002	-1,0462148E-002
31/08/2025 10:57:24.2517	1,6250826E-001	-1,0379789E-002
31/08/2025 10:57:24.3517	1,0523378E-001	-1,0294834E-002
31/08/2025 10:57:24.4517	1,0523378E-001	-1,0216028E-002
31/08/2025 10:57:24.5517	1,1159762E-001	-1,0141500E-002
31/08/2025 10:57:24.6517	1,2432528E-001	-1,0053221E-002
31/08/2025 10:57:24.7517	1,1159762E-001	-9,9758664E-003
31/08/2025 10:57:24.8517	9,8869957E-002	-9,8984735E-003
31/08/2025 10:57:24.9517	9,8869957E-002	-9,8282248E-003
31/08/2025 10:57:25.0517	2,8867837E-002	-9,7582815E-003
31/08/2025 10:57:25.1517	9,2506140E-002	-9,6918140E-003
31/08/2025 10:57:25.2517	1,2432528E-001	-9,6240481E-003
31/08/2025 10:57:25.3517	1,1796144E-001	-9,5571987E-003
31/08/2025 10:57:25.4517	7,9778478E-002	-9,4882483E-003
31/08/2025 10:57:25.5517	1,8159975E-001	-9,4315214E-003
31/08/2025 10:57:25.6517	1,2432528E-001	-9,3694478E-003
31/08/2025 10:57:25.7517	1,5614443E-001	-9,3092071E-003
31/08/2025 10:57:25.8517	4,1595493E-002	-9,2482017E-003
31/08/2025 10:57:25.9517	8,6142294E-002	-9,1838352E-003
31/08/2025 10:57:26.0517	1,0523378E-001	-9,1332588E-003
31/08/2025 10:57:26.1517	7,9778478E-002	-9,0794740E-003
31/08/2025 10:57:26.2517	1,1796144E-001	-9,0219453E-003
31/08/2025 10:57:26.3517	2,0705505E-001	-8,9717126E-003
31/08/2025 10:57:26.4517	1,4978060E-001	-8,9144893E-003
31/08/2025 10:57:26.5517	8,6142294E-002	-8,8671222E-003
31/08/2025 10:57:26.6517	1,1796144E-001	-8,8257138E-003
31/08/2025 10:57:26.7517	9,2506140E-002	-8,7722335E-003
31/08/2025 10:57:26.8517	6,7050815E-002	-8,7235682E-003
31/08/2025 10:57:26.9517	1,3705294E-001	-8,6821979E-003
31/08/2025 10:57:27.0517	9,2506140E-002	-8,6339898E-003
31/08/2025 10:57:27.1517	9,8869957E-002	-8,5867364E-003
31/08/2025 10:57:27.2517	7,9778478E-002	-8,5431887E-003
31/08/2025 10:57:27.3517	1,1796144E-001	-8,5048750E-003
31/08/2025 10:57:27.4517	9,8869957E-002	-8,4560933E-003
31/08/2025 10:57:27.5517	7,9778478E-002	-8,4179705E-003
31/08/2025 10:57:27.6517	1,1159762E-001	-8,3758747E-003
31/08/2025 10:57:27.7517	1,2432528E-001	-8,3353836E-003
31/08/2025 10:57:27.8517	1,0523378E-001	-8,2971836E-003
31/08/2025 10:57:27.9517	1,4341676E-001	-8,2626129E-003
31/08/2025 10:57:28.0517	7,9778478E-002	-8,2251392E-003
31/08/2025 10:57:28.1517	7,9778478E-002	-8,2022185E-003
31/08/2025 10:57:28.2517	7,3414646E-002	-8,1664650E-003
31/08/2025 10:57:28.3517	1,6250826E-001	-8,1396485E-003
31/08/2025 10:57:28.4517	6,0686987E-002	-8,0989273E-003
31/08/2025 10:57:28.5517	1,0523378E-001	-8,0695143E-003
31/08/2025 10:57:28.6517	1,2432528E-001	-8,0323834E-003
31/08/2025 10:57:28.7517	1,9432738E-001	-8,0100372E-003
31/08/2025 10:57:28.8517	1,2432528E-001	-7,9732509E-003
31/08/2025 10:57:28.9517	6,0686987E-002	-7,9403231E-003
31/08/2025 10:57:29.0517	4,7959324E-002	-7,9118256E-003
31/08/2025 10:57:29.1517	9,2506140E-002	-7,8750392E-003
31/08/2025 10:57:29.2517	9,8869957E-002	-7,8453580E-003
31/08/2025 10:57:29.3517	8,6142294E-002	-7,8190006E-003
31/08/2025 10:57:29.4517	7,3414646E-002	-7,7934829E-003
31/08/2025 10:57:29.5517	1,3068911E-001	-7,7683097E-003
31/08/2025 10:57:29.6517	1,1159762E-001	-7,7410731E-003
31/08/2025 10:57:29.7517	5,4323155E-002	-7,7225082E-003
31/08/2025 10:57:29.8517	1,0523378E-001	-7,6885871E-003
31/08/2025 10:57:29.9517	1,1796144E-001	-7,6616560E-003
31/08/2025 10:57:30.0517	1,3705294E-001	-7,6385839E-003
31/08/2025 10:57:30.1517	1,5614443E-001	-7,6123406E-003
31/08/2025 10:57:30.2517	2,1341887E-001	-7,5993906E-003
31/08/2025 10:57:30.3517	1,1796144E-001	-7,5765471E-003
31/08/2025 10:57:30.4517	1,0523378E-001	-7,5523285E-003
31/08/2025 10:57:30.5517	1,3068911E-001	-7,5278427E-003
31/08/2025 10:57:30.6517	1,0523378E-001	-7,5072534E-003
31/08/2025 10:57:30.7517	1,2432528E-001	-7,4892994E-003
31/08/2025 10:57:30.8517	9,8869957E-002	-7,4716513E-003
31/08/2025 10:57:30.9517	1,3705294E-001	-7,4508707E-003
31/08/2025 10:57:31.0517	1,3068911E-001	-7,4312361E-003
31/08/2025 10:57:31.1517	1,1796144E-001	-7,4171401E-003
31/08/2025 10:57:31.2517	1,1796144E-001	-7,3956721E-003
31/08/2025 10:57:31.3517	1,0523378E-001	-7,3801628E-003
31/08/2025 10:57:31.4517	9,8869957E-002	-7,3623238E-003
31/08/2025 10:57:31.5517	8,6142294E-002	-7,3414668E-003
31/08/2025 10:57:31.6517	9,2506140E-002	-7,3254611E-003
31/08/2025 10:57:31.7517	1,1159762E-001	-7,3081567E-003
31/08/2025 10:57:31.8517	1,3705294E-001	-7,2910432E-003
31/08/2025 10:57:31.9517	1,0523378E-001	-7,2812643E-003
31/08/2025 10:57:32.0517	1,1796144E-001	-7,2667487E-003
31/08/2025 10:57:32.1517	9,2506140E-002	-7,2501698E-003
31/08/2025 10:57:32.2517	2,0069122E-001	-7,2455476E-003
31/08/2025 10:57:32.3517	1,5614443E-001	-7,2267535E-003
31/08/2025 10:57:32.4517	8,6142294E-002	-7,2105564E-003
31/08/2025 10:57:32.5517	1,4341676E-001	-7,1898904E-003
31/08/2025 10:57:32.6517	1,3068911E-001	-7,1812575E-003
31/08/2025 10:57:32.7517	1,4341676E-001	-7,1696448E-003
31/08/2025 10:57:32.8517	1,3705294E-001	-7,1537159E-003
31/08/2025 10:57:32.9517	1,4341676E-001	-7,1431343E-003
31/08/2025 10:57:33.0517	1,7523590E-001	-7,1353801E-003
31/08/2025 10:57:33.1517	1,1796144E-001	-7,1185338E-003
31/08/2025 10:57:33.2517	1,1796144E-001	-7,1103587E-003
31/08/2025 10:57:33.3517	1,2432528E-001	-7,0992811E-003
31/08/2025 10:57:33.4517	7,9778478E-002	-7,0840013E-003
31/08/2025 10:57:33.5517	1,1796144E-001	-7,0786532E-003
31/08/2025 10:57:33.6517	1,3068911E-001	-7,0685307E-003
31/08/2025 10:57:33.7517	7,3414646E-002	-7,0542819E-003
31/08/2025 10:57:33.8517	1,1796144E-001	-7,0534796E-003
31/08/2025 10:57:33.9517	1,1159762E-001	-7,0367102E-003
31/08/2025 10:57:34.0517	1,5614443E-001	-7,0281918E-003
31/08/2025 10:57:34.1517	9,2506140E-002	-7,0194053E-003
31/08/2025 10:57:34.2517	1,2432528E-001	-7,0125298E-003
31/08/2025 10:57:34.3517	5,4323155E-002	-7,0084045E-003
31/08/2025 10:57:34.4517	2,2504006E-002	-6,9956835E-003
31/08/2025 10:57:34.5517	4,7959324E-002	-6,9855992E-003
31/08/2025 10:57:34.6517	1,7523590E-001	-6,9790669E-003
31/08/2025 10:57:34.7517	1,1796144E-001	-6,9736806E-003
31/08/2025 10:57:34.8517	1,4978060E-001	-6,9719995E-003
31/08/2025 10:57:34.9517	1,4341676E-001	-6,9570257E-003
31/08/2025 10:57:35.0517	6,0686987E-002	-6,9557265E-003
31/08/2025 10:57:35.1517	1,1159762E-001	-6,9503025E-003
31/08/2025 10:57:35.2517	1,3068911E-001	-6,9464445E-003
31/08/2025 10:57:35.3517	1,6250826E-001	-6,9386135E-003
31/08/2025 10:57:35.4517	1,3068911E-001	-6,9261221E-003
31/08/2025 10:57:35.5517	2,2504006E-002	-6,9274595E-003
31/08/2025 10:57:35.6517	9,8869957E-002	-6,9229901E-003
31/08/2025 10:57:35.7517	7,9778478E-002	-6,9201631E-003
31/08/2025 10:57:35.8517	8,6142294E-002	-6,9157318E-003
31/08/2025 10:57:35.9517	9,8869957E-002	-6,9076335E-003
31/08/2025 10:57:36.0517	1,0523378E-001	-6,9067930E-003
31/08/2025 10:57:36.1517	9,8869957E-002	-6,8978546E-003
31/08/2025 10:57:36.2517	1,0523378E-001	-6,8903673E-003
31/08/2025 10:57:36.3517	7,9778478E-002	-6,8888776E-003
31/08/2025 10:57:36.4517	9,2506140E-002	-6,8858596E-003
31/08/2025 10:57:36.5517	7,9778478E-002	-6,8849050E-003
31/08/2025 10:57:36.6517	1,3068911E-001	-6,8857451E-003
31/08/2025 10:57:36.7517	1,1159762E-001	-6,8784873E-003
31/08/2025 10:57:36.8517	1,2432528E-001	-6,8765776E-003
31/08/2025 10:57:36.9517	1,4978060E-001	-6,8690521E-003
31/08/2025 10:57:37.0517	1,0523378E-001	-6,8661873E-003
31/08/2025 10:57:37.1517	9,2506140E-002	-6,8614502E-003
31/08/2025 10:57:37.2517	1,5614443E-001	-6,8648881E-003
31/08/2025 10:57:37.3517	1,3705294E-001	-6,8587000E-003
31/08/2025 10:57:37.4517	1,3705294E-001	-6,8587763E-003
31/08/2025 10:57:37.5517	1,1796144E-001	-6,8552620E-003
31/08/2025 10:57:37.6517	1,3068911E-001	-6,8582799E-003
31/08/2025 10:57:37.7517	1,3068911E-001	-6,8524354E-003
31/08/2025 10:57:37.8517	1,5614443E-001	-6,8523972E-003
31/08/2025 10:57:37.9517	1,3705294E-001	-6,8490352E-003
31/08/2025 10:57:38.0517	1,2432528E-001	-6,8461704E-003
31/08/2025 10:57:38.1517	1,4341676E-001	-6,8441075E-003
31/08/2025 10:57:38.2517	9,2506140E-002	-6,8444517E-003
31/08/2025 10:57:38.3517	1,3068911E-001	-6,8405550E-003
31/08/2025 10:57:38.4517	7,9778478E-002	-6,8379575E-003
31/08/2025 10:57:38.5517	1,4341676E-001	-6,8447571E-003
31/08/2025 10:57:38.6517	7,9778478E-002	-6,8386449E-003
31/08/2025 10:57:38.7517	1,4341676E-001	-6,8391794E-003
31/08/2025 10:57:38.8517	7,9778478E-002	-6,8353596E-003
31/08/2025 10:57:38.9517	8,6142294E-002	-6,8340995E-003
31/08/2025 10:57:39.0517	1,5614443E-001	-6,8328767E-003
31/08/2025 10:57:39.1517	8,6142294E-002	-6,8412041E-003
31/08/2025 10:57:39.2517	1,0523378E-001	-6,8365443E-003
31/08/2025 10:57:39.3517	1,4978060E-001	-6,8315016E-003
31/08/2025 10:57:39.4517	1,5614443E-001	-6,8339845E-003
31/08/2025 10:57:39.5517	1,1796144E-001	-6,8322653E-003
31/08/2025 10:57:39.6517	7,3414646E-002	-6,8257339E-003
31/08/2025 10:57:39.7517	4,7959324E-002	-6,8320367E-003
31/08/2025 10:57:39.8517	1,1159762E-001	-6,8298588E-003
31/08/2025 10:57:39.9517	1,6887209E-001	-6,8303938E-003
31/08/2025 10:57:40.0517	7,9778478E-002	-6,8312339E-003
31/08/2025 10:57:40.1517	8,6142294E-002	-6,8288278E-003
31/08/2025 10:57:40.2517	1,2432528E-001	-6,8292101E-003
31/08/2025 10:57:40.3517	1,8796356E-001	-6,8286750E-003
31/08/2025 10:57:40.4517	1,8159975E-001	-6,8288278E-003
31/08/2025 10:57:40.5517	1,0523378E-001	-6,8312725E-003
31/08/2025 10:57:40.6517	1,4341676E-001	-6,8280636E-003
31/08/2025 10:57:40.7517	1,1159762E-001	-6,8287132E-003
31/08/2025 10:57:40.8517	1,7523590E-001	-6,8333736E-003
31/08/2025 10:57:40.9517	1,3068911E-001	-6,8376516E-003
31/08/2025 10:57:41.0517	1,4341676E-001	-6,8268031E-003
31/08/2025 10:57:41.1517	6,0686987E-002	-6,8289423E-003
31/08/2025 10:57:41.2517	7,9778478E-002	-6,8337936E-003
31/08/2025 10:57:41.3517	1,2432528E-001	-6,8326481E-003
31/08/2025 10:57:41.4517	4,1595493E-002	-6,8317689E-003
31/08/2025 10:57:41.5517	6,7050815E-002	-6,8315784E-003
31/08/2025 10:57:41.6517	1,8159975E-001	-6,8320748E-003
31/08/2025 10:57:41.7517	8,6142294E-002	-6,8296301E-003
31/08/2025 10:57:41.8517	1,4978060E-001	-6,8283691E-003
31/08/2025 10:57:41.9517	1,4978060E-001	-6,8332967E-003
31/08/2025 10:57:42.0517	1,1159762E-001	-6,8299738E-003
31/08/2025 10:57:42.1517	1,6887209E-001	-6,8342518E-003
31/08/2025 10:57:42.2517	1,0523378E-001	-6,8318071E-003
31/08/2025 10:57:42.3517	1,1796144E-001	-6,8313489E-003
31/08/2025 10:57:42.4517	1,6250826E-001	-6,8384157E-003
31/08/2025 10:57:42.5517	1,2432528E-001	-6,8392181E-003
31/08/2025 10:57:42.6517	1,4978060E-001	-6,8356274E-003
31/08/2025 10:57:42.7517	4,1595493E-002	-6,8366965E-003
31/08/2025 10:57:42.8517	1,3068911E-001	-6,8379194E-003
31/08/2025 10:57:42.9517	1,3068911E-001	-6,8322653E-003
31/08/2025 10:57:43.0517	1,0523378E-001	-6,8385308E-003
31/08/2025 10:57:43.1517	7,3414646E-002	-6,8378043E-003
31/08/2025 10:57:43.2517	7,3414646E-002	-6,8400204E-003
31/08/2025 10:57:43.3517	1,1796144E-001	-6,8385308E-003
31/08/2025 10:57:43.4517	9,2506140E-002	-6,8408605E-003
31/08/2025 10:57:43.5517	8,6142294E-002	-6,8412041E-003
31/08/2025 10:57:43.6517	6,7050815E-002	-6,8390272E-003
31/08/2025 10:57:43.7517	8,6142294E-002	-6,8430002E-003
31/08/2025 10:57:43.8517	6,7050815E-002	-6,8426942E-003
31/08/2025 10:57:43.9517	1,3705294E-001	-6,8494175E-003
31/08/2025 10:57:44.0517	1,1159762E-001	-6,8416246E-003
31/08/2025 10:57:44.1517	1,2432528E-001	-6,8480037E-003
31/08/2025 10:57:44.2517	9,8869957E-002	-6,8473928E-003
31/08/2025 10:57:44.3517	1,4341676E-001	-6,8475455E-003
31/08/2025 10:57:44.4517	1,8796356E-001	-6,8480801E-003
31/08/2025 10:57:44.5517	7,3414646E-002	-6,8515181E-003
31/08/2025 10:57:44.6517	1,8796356E-001	-6,8489593E-003
31/08/2025 10:57:44.7517	9,7763510E-003	-6,8511744E-003
31/08/2025 10:57:44.8517	9,8869957E-002	-6,8455590E-003
31/08/2025 10:57:44.9517	9,8869957E-002	-6,8567516E-003
31/08/2025 10:57:45.0517	7,9778478E-002	-6,8503725E-003
31/08/2025 10:57:45.1517	9,2506140E-002	-6,8551092E-003
31/08/2025 10:57:45.2517	1,1796144E-001	-6,8548038E-003
31/08/2025 10:57:45.3517	1,4341676E-001	-6,8502580E-003
31/08/2025 10:57:45.4517	7,3414646E-002	-6,8600751E-003
31/08/2025 10:57:45.5517	1,1796144E-001	-6,8608769E-003
31/08/2025 10:57:45.6517	1,1159762E-001	-6,8558352E-003
31/08/2025 10:57:45.7517	1,4341676E-001	-6,8637040E-003
31/08/2025 10:57:45.8517	9,2506140E-002	-6,8646208E-003
31/08/2025 10:57:45.9517	1,5614443E-001	-6,8560257E-003
31/08/2025 10:57:46.0517	9,8869957E-002	-6,8588145E-003
31/08/2025 10:57:46.1517	1,1796144E-001	-6,8618320E-003
31/08/2025 10:57:46.2517	9,2506140E-002	-6,8709236E-003
31/08/2025 10:57:46.3517	1,9432738E-001	-6,8645445E-003
31/08/2025 10:57:46.4517	1,1796144E-001	-6,8663396E-003
31/08/2025 10:57:46.5517	6,7050815E-002	-6,8678292E-003
31/08/2025 10:57:46.6517	9,2506140E-002	-6,8682502E-003
31/08/2025 10:57:46.7517	1,3068911E-001	-6,8712672E-003
31/08/2025 10:57:46.8517	1,0523378E-001	-6,8683261E-003
31/08/2025 10:57:46.9517	1,1796144E-001	-6,8724519E-003
31/08/2025 10:57:47.0517	1,3068911E-001	-6,8768826E-003
31/08/2025 10:57:47.1517	1,1159762E-001	-6,8685934E-003
31/08/2025 10:57:47.2517	1,6250826E-001	-6,8741329E-003
31/08/2025 10:57:47.3517	1,1796144E-001	-6,8771122E-003
31/08/2025 10:57:47.4517	9,8869957E-002	-6,8692807E-003
31/08/2025 10:57:47.5517	1,0523378E-001	-6,8725282E-003
31/08/2025 10:57:47.6517	1,4978060E-001	-6,8796328E-003
31/08/2025 10:57:47.7517	9,8869957E-002	-6,8768063E-003
31/08/2025 10:57:47.8517	3,5231672E-002	-6,8798242E-003
31/08/2025 10:57:47.9517	1,6250826E-001	-6,8807793E-003
31/08/2025 10:57:48.0517	1,6887209E-001	-6,8731015E-003
31/08/2025 10:57:48.1517	1,1796144E-001	-6,8830331E-003
31/08/2025 10:57:48.2517	4,7959324E-002	-6,8876166E-003
31/08/2025 10:57:48.3517	9,2506140E-002	-6,8803593E-003
31/08/2025 10:57:48.4517	6,0686987E-002	-6,8851719E-003
31/08/2025 10:57:48.5517	1,6887209E-001	-6,8855924E-003
31/08/2025 10:57:48.6517	1,8159975E-001	-6,8889917E-003
31/08/2025 10:57:48.7517	1,5614443E-001	-6,8921628E-003
31/08/2025 10:57:48.8517	1,1796144E-001	-6,8870820E-003
31/08/2025 10:57:48.9517	1,1796144E-001	-6,8905582E-003
