time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
26/08/2025 22:42:13.7668	1,0013975E-001	4,1996461E-001	7,3594399E-002
26/08/2025 22:42:40.2614	7,9421178E-002	4,2994520E-001	8,3420694E-002
26/08/2025 22:43:13.6012	6,3101739E-002	4,4166240E-001	9,3185522E-002
26/08/2025 22:43:55.5399	5,0154075E-002	4,5555294E-001	1,0164552E-001
26/08/2025 22:44:48.3739	3,9804459E-002	4,7301042E-001	1,1262363E-001
26/08/2025 22:45:54.9340	3,1592205E-002	4,9293336E-001	1,2511879E-001
26/08/2025 22:47:18.5524	2,5144994E-002	5,1526260E-001	1,3424744E-001
26/08/2025 22:49:03.9413	1,9949391E-002	5,3994197E-001	1,3978431E-001
26/08/2025 22:51:16.4903	1,5860692E-002	5,6723332E-001	1,4327273E-001
26/08/2025 22:54:03.6407	1,2576789E-002	5,9725839E-001	1,4329796E-001
26/08/2025 22:57:33.6615	1,0009170E-002	6,2585980E-001	1,3647403E-001
26/08/2025 22:57:34.4975	1,9999814E+005	3,0539227E-001	-9,8718658E-002
26/08/2025 22:57:34.9315	1,5885727E+005	3,1799045E-001	-7,4340798E-002
26/08/2025 22:57:35.3655	1,2618765E+005	3,2525405E-001	-5,8058955E-002
26/08/2025 22:57:35.6595	1,0022640E+005	3,2904094E-001	-4,5471739E-002
26/08/2025 22:57:37.3535	7,9609563E+004	3,3033040E-001	-3,5578646E-002
26/08/2025 22:57:39.0475	6,3233004E+004	3,3099771E-001	-2,7890714E-002
26/08/2025 22:57:40.6015	5,0224539E+004	3,3131868E-001	-2,2006428E-002
26/08/2025 22:57:41.3155	3,9897566E+004	3,3177850E-001	-1,6915096E-002
26/08/2025 22:57:41.8895	3,1686090E+004	3,3195910E-001	-1,2702374E-002
26/08/2025 22:57:42.3235	2,5172580E+004	3,3263922E-001	-9,4825095E-003
26/08/2025 22:57:42.7575	1,9995176E+004	3,3270493E-001	-6,9304248E-003
26/08/2025 22:57:43.1915	1,5884798E+004	3,3334044E-001	-4,6874103E-003
26/08/2025 22:57:43.6255	1,2618766E+004	3,3374581E-001	-3,0449461E-003
26/08/2025 22:57:44.0595	1,0020785E+004	3,3423167E-001	-1,7291844E-003
26/08/2025 22:57:44.5508	7,9597607E+003	3,3452979E-001	-4,6044891E-004
26/08/2025 22:57:44.9454	6,3238188E+003	3,3517408E-001	2,5709605E-004
26/08/2025 22:57:45.6367	5,0216069E+003	3,3539715E-001	8,6493988E-004
26/08/2025 22:57:46.1050	3,9861731E+003	3,3608890E-001	1,4570149E-003
26/08/2025 22:57:46.5720	3,1669595E+003	3,3653250E-001	1,7771886E-003
26/08/2025 22:57:47.0377	2,5158047E+003	3,3684576E-001	2,2477829E-003
26/08/2025 22:57:47.5060	1,9980818E+003	3,3741826E-001	2,5887841E-003
26/08/2025 22:57:47.9730	1,5884750E+003	3,3797714E-001	2,7423596E-003
26/08/2025 22:57:48.4387	1,2604036E+003	3,3830133E-001	3,0129079E-003
26/08/2025 22:57:48.9055	1,0016024E+003	3,3890954E-001	3,2169535E-003
26/08/2025 22:57:49.3728	7,9525409E+002	3,3933201E-001	3,4191597E-003
26/08/2025 22:57:49.8402	6,3181964E+002	3,3991480E-001	3,8193259E-003
26/08/2025 22:57:50.3070	5,0208865E+002	3,4054738E-001	4,0399791E-003
26/08/2025 22:57:50.7745	3,9859698E+002	3,4120998E-001	4,2813611E-003
26/08/2025 22:57:51.2397	3,1672299E+002	3,4184092E-001	4,3988540E-003
26/08/2025 22:57:51.7045	2,5169135E+002	3,4227407E-001	4,8081754E-003
26/08/2025 22:57:52.1730	1,9980818E+002	3,4311837E-001	5,0208825E-003
26/08/2025 22:57:52.6425	1,5862943E+002	3,4384224E-001	5,2495962E-003
26/08/2025 22:57:53.1072	1,2600809E+002	3,4463498E-001	5,4491940E-003
26/08/2025 22:57:53.5745	1,0016024E+002	3,4540740E-001	5,7941251E-003
26/08/2025 22:57:54.0450	7,9516548E+001	3,4621358E-001	6,1677950E-003
26/08/2025 22:57:54.5227	6,3160763E+001	3,4732288E-001	6,4048036E-003
26/08/2025 22:57:54.9900	5,0208866E+001	3,4795269E-001	6,9169160E-003
26/08/2025 22:57:55.4575	3,9859695E+001	3,4894505E-001	7,1164272E-003
26/08/2025 22:57:55.9032	3,1672298E+001	3,5006735E-001	7,4528512E-003
26/08/2025 22:57:56.3687	2,5136747E+001	3,5104340E-001	7,9363538E-003
26/08/2025 22:57:56.8370	1,9980818E+001	3,5209501E-001	8,3061913E-003
26/08/2025 22:57:57.2810	1,5857577E+001	3,5340679E-001	8,6968150E-003
26/08/2025 22:57:57.8279	1,2600809E+001	3,5469535E-001	9,2266407E-003
26/08/2025 22:57:58.2935	1,0016025E+001	3,5603586E-001	9,6568586E-003
26/08/2025 22:57:58.8682	7,9557004E+000	3,5737196E-001	1,0309713E-002
26/08/2025 22:57:59.2482	6,3105812E+000	3,5883841E-001	1,0647726E-002
26/08/2025 22:57:59.7172	5,0144420E+000	3,6028332E-001	1,1106293E-002
26/08/2025 22:58:00.2907	3,9859698E+000	3,6171982E-001	1,1835219E-002
26/08/2025 22:58:00.9988	3,1655185E+000	3,6314520E-001	1,2434502E-002
26/08/2025 22:58:01.8767	2,5136747E+000	3,6489716E-001	1,3510354E-002
26/08/2025 22:58:02.9698	1,9970603E+000	3,6623466E-001	1,3989985E-002
26/08/2025 22:58:05.0171	1,5846856E+000	3,6758399E-001	1,5582364E-002
26/08/2025 22:58:06.7240	1,2596742E+000	3,6873052E-001	1,8246839E-002
26/08/2025 22:58:08.8623	1,0000639E+000	3,7109840E-001	1,9655267E-002
26/08/2025 22:58:11.5441	7,9443753E-001	3,7287608E-001	2,2274366E-002
26/08/2025 22:58:14.9098	6,3126212E-001	3,7473089E-001	2,5711229E-002
26/08/2025 22:58:19.1391	5,0118679E-001	3,7739703E-001	2,9070286E-002
26/08/2025 22:58:24.4468	3,9867833E-001	3,8098329E-001	3,3197626E-002
26/08/2025 22:58:31.1272	3,1619310E-001	3,8520184E-001	3,8595885E-002
26/08/2025 22:58:39.5288	2,5117347E-001	3,8935819E-001	4,4564698E-002
26/08/2025 22:58:50.0798	1,9980818E-001	3,9443457E-001	5,0292194E-002
26/08/2025 22:59:03.3737	1,5846856E-001	4,0138531E-001	5,6821838E-002
26/08/2025 22:59:20.0986	1,2590654E-001	4,0958437E-001	6,4864933E-002
26/08/2025 22:59:41.1190	1,0013975E-001	4,1809690E-001	7,3956318E-002
26/08/2025 23:00:07.6136	7,9421178E-002	4,2777777E-001	8,2830861E-002
26/08/2025 23:00:40.9535	6,3101739E-002	4,3998423E-001	9,2239097E-002
26/08/2025 23:01:22.8921	5,0154075E-002	4,5511135E-001	1,0136495E-001
26/08/2025 23:02:15.7261	3,9804459E-002	4,7164661E-001	1,1338899E-001
26/08/2025 23:03:22.2873	3,1592205E-002	4,9046713E-001	1,2493966E-001
26/08/2025 23:04:45.9067	2,5144994E-002	5,1316100E-001	1,3289629E-001
26/08/2025 23:06:31.2957	1,9949391E-002	5,3867429E-001	1,3849071E-001
26/08/2025 23:08:43.8446	1,5860692E-002	5,6598371E-001	1,4288980E-001
